pr,repo,number,path,additions,deletions
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/ultrawide_lg_1.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/ultrawide_lg_2.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/ultrawide_lg_3.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/ultrawide_lg_4.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/ultrawide_lg_5.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/img/configurator/ultrawide_lg_6.webp,0,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/js/tour.js,66,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/static/src/scss/primary_variables.scss,52,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/views/global_customizations.xml,159,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/views/homepage_customizations.xml,18,0
odoo/design-themes#1252,odoo/design-themes,1252,theme_care/views/images.xml,258,0
odoo/design-themes#1252,odoo/design-themes,1252,tooling/theme_preview_generator.py,21,0
odoo/design-themes#1253,odoo/design-themes,1253,.weblate.json,5,0
odoo/design-themes#1253,odoo/design-themes,1253,test_themes/__manifest__.py,1,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/LICENSE,27,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/__init__.py,2,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/__manifest__.py,69,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/data/generate_primary_template.xml,9,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/data/ir_asset.xml,10,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/models/__init__.py,2,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/models/theme_linea.py,13,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/description/index.html,1,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/description/linea_cover.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/description/linea_screenshot.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/description/preview.html,1389,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_4.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_5.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_6.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_7.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_8.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_md_9.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_xl_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_xl_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/landscape_xl_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/portrait_lg_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/portrait_lg_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/portrait_lg_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_1_landscape_md_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_1_landscape_md_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_1_landscape_md_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_4.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_5.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_6.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_2_square_md_7.webp,0,0
